报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,482370291.85,,,232701962.23,,,557155068.97,234990499.62,322164569.35,57662075.63,15735188.03,,,,,,,,,,,10599894.73,217625407.81,,,,,5353652.07,1579203541.32,,,,,,,,4186511.61,5145968.61,,73762594.32,,,,,,,43788235.93,,,,,947747652.89,,,,,22473192.94,92719444.65,,243848737.16,2290179.8,,25773655.39,3419750.36,1465155923.66,3044359464.98,,61727594.45,,,,,,234803307.38,,234803307.38,,47648130.77,,,15247729.39,18546589.91,,195409.36,,,,63592734.87,,,,,,,,,,,,,,16950804.63,147068945.88,605585837.28,,,,,,11509161.52,,,,,,8610699.42,15270525.23,,35390386.17,640976223.45,,534071628.0,,,,968991239.37,,23725066.06,,81560308.17,,,718692288.61,,,2327040530.21,76342711.32,2403383241.53,3044359464.98,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T20:02:05
20251231,,594091354.93,,,110397718.6,,,584095896.4,263288491.57,320807404.83,58606893.63,14524878.55,,,,,,,,,,8596465.24,8596465.24,197499277.85,,,,,86107261.32,1653919746.52,,,,,,,,4186511.62,5236481.1,,82003828.55,,,1831178030.09,834926261.5,996251768.59,31078763.48,41296400.24,41296400.24,,965173005.11,,965173005.11,,,,,24386916.71,93295881.88,,243848737.16,2332958.26,,25218868.2,4225827.25,1491205416.08,3145125162.6,,61914686.12,,,,,,241895583.36,,241895583.36,,35583416.85,,,19682925.87,19080448.5,,195409.36,,,52363124.22,52558533.58,,,,,,,,,,,,,,46668259.64,143437093.07,620820946.99,,88560000.0,,,,12348892.42,,,,,,8838559.53,17023829.84,,126771281.79,747592228.78,,534071628.0,,,,968991239.37,,29901799.09,,81560308.17,,,705808082.91,,,2320333057.54,77199876.28,2397532933.82,3145125162.6,定期报告,是,20260429,CNY,合并期末,2026-04-28T20:02:05
20250930,,611086590.92,,,210653315.07,,,466356498.65,148761035.11,317595463.54,44193818.36,24313693.12,,,,,,,,,,,10071487.26,218946576.4,,,,,4487998.86,1590109978.64,,,,,,,,3893769.98,5326993.59,,82824572.81,,,,,,,176448086.97,,,,,842762395.41,,,,,15205313.31,94750968.64,,243848737.16,1108115.01,,24836258.68,5067226.58,1496072438.14,3086182416.78,,32000000.0,,,,,,242426879.3,,242426879.3,,64067664.18,,,13155178.75,27415650.19,,195409.36,,,,48761401.95,,,,,,,,,,,,,,42507108.42,63443992.28,533777875.07,,116740000.0,,,,2803635.2,,,,,,5447500.0,18008980.39,,143000115.59,676777990.66,,534071628.0,,,,968991239.37,,30517357.29,,77060188.77,,,722365736.11,,,2333006149.54,76398276.58,2409404426.12,3086182416.78,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:58:04
20250630,,681531797.1,,,40000000.0,,,454426994.21,144943972.89,309483021.32,72929868.78,29144306.56,,,,,,,,,,7762004.51,7762004.51,208901109.15,,,,,4089290.31,1498785370.62,,,,,,,,3893769.98,5417506.08,,78565278.05,,,1685700607.1,798516006.2,887184600.9,31078763.48,173086716.26,173086716.26,,856105837.42,,856105837.42,,,,,18032250.52,95606435.79,,243848737.16,1312536.32,,24420736.77,4937573.28,1505227377.63,3004012748.25,,32000000.0,,,,,,215189636.73,,215189636.73,,46175590.05,,,12010954.71,19357753.39,,195409.37,,,61169384.43,61364793.8,,,,,,,,,,,,,,43276644.62,46241432.25,475616805.55,,116740000.0,,,,3841247.82,,,,,,1515000.0,16766263.22,,138862511.04,614479316.59,,534071628.0,,,,968991229.37,,27322886.22,,77060188.77,,,704872278.62,,,2312318210.98,77215220.68,2389533431.66,3004012748.25,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T16:50:02
20250331,,775210916.69,,,21097426.62,,,462635891.58,125175913.64,337459977.94,88919658.67,31217799.35,,,,,,,,,,,6912672.96,223754830.04,,,,,3971369.95,1613720565.86,,,,,,,,3893769.98,5508018.57,,77295323.27,,,,,,,155549699.45,,,,,873134200.34,,,,,19565317.02,96240805.58,,243848737.16,1409456.3,,25939840.47,6460565.08,1508845733.22,3122566299.08,,32009655.56,,,,,,213537515.12,,213537515.12,,56606465.19,,,12700493.53,21880966.38,,195409.36,,,,104942018.31,,,,,,,,,,,,,,49963260.69,26445364.79,518085739.57,,129580000.0,,,,6583441.68,,,,,,1582500.0,16579840.2,,154325781.88,672411521.45,,534071628.0,,,,968991229.37,,26370420.14,,77060188.77,,,767169372.79,,,2373662839.07,76491938.56,2450154777.63,3122566299.08,定期报告,未审计,20250426,CNY,合并期末,2025-04-25T17:52:09
20241231,,779392576.39,,,20873771.2,,,458297218.8,135415641.56,322881577.24,71327172.24,22366955.03,,,,,,,,,,4799249.54,4799249.54,228336102.78,,,,,10517981.02,1595911027.0,,,,,,,,3893769.98,5598531.06,,83122200.95,,,1684543829.14,765023244.61,919520584.53,31078763.48,141245139.83,141245139.83,,888441821.05,,888441821.05,,,,,24693347.84,96646199.49,,243848737.16,1637630.44,,23165365.37,7608858.61,1519901601.78,3115812628.78,,27032355.56,,,,,,223847441.42,,223847441.42,,35396805.52,,,19149526.76,15233125.33,,195409.36,,,108080908.95,108276318.31,,,,,,,,,,,,,,50071854.0,51875942.71,530883369.61,,129580000.0,,,,10445064.51,,,,,,1650000.0,16446832.07,,158121896.58,689005266.19,,534071628.0,,,,968991229.37,,30740578.4,,77060188.77,,,752174875.96,,,2363038500.5,63768862.09,2426807362.59,3115812628.78,定期报告,是,20260429,CNY,合并期末,2025-04-25T17:52:09
20240930,,853544403.34,,,20591415.64,,,390495503.69,12045792.29,378449711.4,154844271.81,47634838.49,,,,,,,,,,,7576117.08,228690439.6,,,,,4147113.0,1707524102.65,,,,,,,,3715169.81,7336448.27,,88243273.25,,,,,,,100917810.41,,,,,903743021.65,,,,,26507286.01,97799744.14,,243848737.16,1345197.95,,24615473.98,5695103.25,1503767265.88,3211291368.53,,32000000.0,,,,,,220821581.97,,220821581.97,,19240782.32,,,11187025.15,13717350.21,,195409.37,,,,207352634.48,,,,,,,,,,,,,,41771475.98,54001301.7,600092151.81,,157800000.0,,,,10386048.66,,,,,,1125000.0,19192164.42,,188503213.08,788595364.89,,534071628.0,,,,968991229.37,,34423124.69,,72334633.06,,,744866174.29,,,2354686789.41,68009214.23,2422696003.64,3211291368.53,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T16:25:05
20240630,,763655254.72,,,20942761.5,,,389292435.82,12003628.27,377288807.55,215898597.37,49950778.83,,,,,,,,,,8002785.75,8002785.75,217699968.62,,,,,6723415.98,1672165998.59,,,,,,,,3715169.81,7446495.38,,68673182.27,,,1685640960.11,740604003.73,945036956.38,31078763.48,81568352.19,81568352.19,,913958192.9,,913958192.9,,,,,29975827.89,98463483.94,,243848737.16,1442466.51,,24775093.41,4179811.6,1478046813.06,3150212811.65,,35000000.0,,,,,,254964484.55,20000000.0,234964484.55,,20112128.76,,,11169029.76,7665558.9,,195409.37,,,208126737.0,208322146.37,,,,,,,,,,,,,,42308972.96,2593126.73,582135448.03,,157800000.0,,,,11598501.18,,,,,,1200000.0,14353823.17,,184952324.35,767087772.38,,534071628.0,,,,968991229.37,,19745306.45,,72334633.06,,,723349409.17,,,2318492206.05,64632833.22,2383125039.27,3150212811.65,定期报告,未审计,20240831,CNY,合并期末,2024-08-30T17:15:05
20240331,,756928121.9,,,20889801.65,,,450537313.77,52209274.76,398328039.01,274470206.89,57478133.18,,,,,,,,,,,15993684.97,223443090.05,,,,,2278817.31,1802019169.72,,,,,,,,3715169.81,7556542.49,,70723834.01,,,,,,,68724581.28,,,,,941126629.03,,,,,25660808.11,95129873.4,,243848737.16,1481056.46,,23450582.52,8906091.3,1490323905.57,3292343075.29,,26010756.02,,,,,,275520157.26,20000000.0,255520157.26,,43911169.29,,,12243279.65,13194271.19,4298.89,195409.37,,,,214514859.14,,,,,,,,,,,,,,47922920.03,40690778.82,674008191.4,,170100000.0,,,,16261454.93,,,,,,1260000.0,15010086.98,,202631541.91,876639733.31,,534071628.0,,,,968991229.37,,21293858.26,,72334633.06,,,762654723.15,,,2359346071.84,56357270.14,2415703341.98,3292343075.29,定期报告,未审计,20240501,CNY,合并期末,2024-04-29T17:15:04
20231231,,715276992.64,,,20897679.62,,,440731379.97,47551574.55,393179805.42,309517658.44,26453494.37,,,,,,,,,,9739871.74,9739871.74,242859435.85,,,,,6775892.09,1772252404.72,,,,,,,,3715169.81,7666589.6,,70425567.77,,,1683586807.07,696839110.65,986747696.42,31078763.48,63954605.97,63954605.97,,955668932.94,,955668932.94,,,,,32548871.28,95198354.49,,243848737.16,1630211.45,,23435363.38,8990870.25,1507083274.1,3279335678.82,,17998951.68,,,,,,249852498.43,,249852498.43,,29672129.5,,,19772595.83,14542170.57,,195409.37,,,149419412.59,149614821.96,,,,,,,,,,,,,,47936715.98,156647823.53,686037707.48,,170100000.0,,,,17030423.69,,,,,,1260000.0,14341504.28,,202731927.97,888769635.45,,534071628.0,,,,968991229.37,,21070158.58,,72334633.06,,,738919547.12,,,2335387196.13,55178847.24,2390566043.37,3279335678.82,定期报告,是,20250426,CNY,合并期末,2024-04-29T17:15:04
