报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,969130944.69,969130944.69,,,,,,896174383.59,572849967.6,,,,,,,,,3731907.13,270239951.97,38356618.72,35041631.43,-24045693.26,793682.57,,2518773.31,,,,,16323250.36,,,,39148652.39,-3208182.4,-64226.58,,134429.46,127809257.64,18388.28,,38044.31,,127789601.61,10600176.34,,117189425.27,117189425.27,,117189625.48,,-200.21,-37982602.12,-37982602.12,,,,,,-37982602.12,,,,,,,,,-37982602.12,,,79206823.15,79207023.36,-200.21,0.25,0.25,定期报告,未审计,20260424,CNY,合并期末,2026-04-23T15:50:02
20251231,4735621058.43,4735621058.43,,,,,,4120511447.82,2737356200.06,,,,,,,,,32758577.1,1097912474.47,181437086.69,180387018.36,-109339908.86,10280162.52,,105128399.92,,,,,8374183.55,,,,189039281.67,-38539225.14,-579136.22,,-16220916.36,862312198.03,1752334.56,,1499381.96,,862565150.63,25465825.93,,837099324.7,837099324.7,,837099258.25,,66.45,-48802065.24,-48802065.24,,,,,,-48802065.24,,,,,,,,,-48802065.24,,,788297259.46,788297193.01,66.45,1.82,1.81,定期报告,是,20260327,CNY,合并期末,2026-03-26T18:48:06
20250930,3520825700.94,3520825700.94,,,,,,3058311249.88,2011701649.28,,,,,,,,,24256124.64,837528170.09,130476700.38,142444522.71,-88095917.22,4135082.7,,93555377.83,,,,,20751178.64,,,,167214354.06,-11760362.05,-226541.56,,1404714.9,733453172.88,800756.7,,1506697.53,,732747232.05,56136425.62,,676610806.43,676610806.43,,676611266.7,,-460.27,-25802250.25,-25802249.82,,,,,,-25802249.82,,,,,,,,,-25802249.82,,-0.43,650808556.18,650809016.88,-460.7,1.48,1.47,定期报告,未审计,20251024,CNY,合并期末,2025-10-23T19:32:04
20250630,2251375839.27,2251375839.27,,,,,,1976044247.21,1276889376.79,,,,,,,,,18000467.25,554096057.32,93288706.42,98118963.03,-64349323.6,3324463.53,,84731261.69,,,,,17193590.69,,,,111520914.99,-6788080.26,-187570.61,,501085.76,482302794.32,98366.71,,1433480.51,,480967680.52,50356104.63,,430611575.89,430611575.89,,430611804.84,,-228.95,-8097439.5,-8097495.17,,,,,,-8097495.17,,,,,,,,,-8097495.17,,55.67,422514136.39,422514309.67,-173.28,0.94,0.93,定期报告,未审计,20250822,CNY,合并期末,2025-08-21T16:26:05
20250331,1064399637.59,1064399637.59,,,,,,950414915.5,603060684.75,,,,,,,,,4940900.22,277938874.74,46729289.94,48183436.8,-30438270.95,1643324.2,,61834652.5,,,,,7452846.1,,,,28402126.48,-3755608.24,-1004716.56,,84568.23,206998590.6,86245.63,,612.33,,207084223.9,11735857.68,,195348366.22,195348366.22,,195348364.84,,1.38,25488021.83,25487987.57,,,,,,25487987.57,,,,,,,,,25487987.57,,34.26,220836388.05,220836352.41,35.64,0.43,0.42,定期报告,未审计,20260424,CNY,合并期末,2025-04-22T18:10:04
20241231,4374948942.73,4374948942.73,,,,,,3791916753.44,2546541807.6,,,,,,,,,32112225.11,949987699.44,190126010.76,177327629.35,-104178618.82,13553813.49,,28463624.52,,,,,-9304023.9,,,,76681094.26,-15244735.27,342752.74,,3804070.32,667774971.96,358815.67,,176489.27,,667957298.36,64258263.49,,603699034.87,603699034.87,,603698838.16,,196.71,18512635.29,18512635.29,,,,,,18512635.29,,,,,,,,,18512635.29,,,622211670.16,622211473.45,196.71,1.33,1.32,定期报告,是,20260327,CNY,合并期末,2025-03-20T21:07:05
20240930,3222596255.55,3222596255.55,,,,,,2792434115.51,1877641882.25,,,,,,,,,25111696.52,719380718.25,118578708.94,126068902.55,-74347793.0,9711388.46,,21728182.34,,,,,12540128.17,,,,66819788.73,-11834810.1,22267.56,,3759001.35,523196698.09,42664.48,,1927896.74,,521311465.83,73197890.08,,448113575.75,448113575.75,,448114129.63,,-553.88,-26161537.47,-26162109.89,,,,,,-26162109.89,,,,,,,,,-26162109.89,,572.42,421952038.28,421952019.74,18.54,0.98,0.97,定期报告,未审计,20251024,CNY,合并期末,2024-10-24T16:32:05
20240630,2255997348.74,2255997348.74,,,,,,1964789636.72,1307399242.47,,,,,,,,,19822314.06,497731786.81,91433283.63,96989699.24,-48586689.49,7715287.76,,16729355.05,,,,,9824055.5,,,,60286930.39,-3817614.71,282016.85,,3789445.03,378301900.13,40864.48,,147835.93,,378194928.68,60965830.64,,317229098.04,317229098.04,,317229381.22,,-283.18,3018639.8,3018039.44,,,,,,3018039.44,,,,,,,,,3018039.44,,600.36,320247737.84,320247420.66,317.18,0.69,0.69,定期报告,未审计,20250822,CNY,合并期末,2024-08-22T16:12:05
20240331,1218471529.44,1218471529.44,,,,,,1065357756.99,726480275.7,,,,,,,,,11633523.18,252148562.43,47525256.38,50773628.37,-23203489.07,3090211.48,,1563855.83,,,,,3526471.46,,,,32522903.41,-78005.64,-243868.1,,653340.38,191058469.79,15000.0,,118069.73,,190955400.06,28555844.37,,162399555.69,162399555.69,,162399848.3,,-292.61,-3620851.23,-3621447.81,,,,,,-3621447.81,,,,,,,,,-3621447.81,,596.58,158778704.46,158778400.49,303.97,0.35,0.35,定期报告,未审计,20250423,CNY,合并期末,2024-04-25T16:57:05
20231231,4408052320.27,4408052320.27,,,,,,4047909389.7,2624385941.66,,,,,,,,,28776418.12,1049255196.17,217733298.39,211583428.42,-83824893.06,21792653.69,,24391145.06,20203641.44,,,,-21120870.76,,,,92948231.37,-376260742.16,-1568438.42,,1851833.26,80384088.92,1889638.22,,8038860.07,,74234867.07,-90815657.63,,165050524.7,165050524.7,,165054933.06,,-4408.36,43834089.22,43834175.27,,,,,,43834175.27,,,,,,,,,43834175.27,,-86.05,208884613.92,208889108.33,-4494.41,0.36,0.36,定期报告,是,20250321,CNY,合并期末,2024-04-10T16:17:02
